,0,1,2,3,4
10,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI Figure SPM.2,,
11,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI TS 2.2,,
12,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI 2ES,,
13,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI Figure 6.1,,
14,2.1.1.e,"2.1.1.e1). Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990. (high confidence) {WGIII SPM B1.1, WGIII SPM B.1.2, WGIII SPM B.1.3, WGIII Figure SPM.1, WGIII Figure SPM.2} ",WGIII SPM B1.1,,
15,2.1.1.e,"2.1.1.e1). Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990. (high confidence) {WGIII SPM B1.1, WGIII SPM B.1.2, WGIII SPM B.1.3, WGIII Figure SPM.1, WGIII Figure SPM.2} ", WGIII SPM B.1.2,,
16,2.1.1.e,"2.1.1.e1). Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990. (high confidence) {WGIII SPM B1.1, WGIII SPM B.1.2, WGIII SPM B.1.3, WGIII Figure SPM.1, WGIII Figure SPM.2} ", WGIII SPM B.1.3,,
17,2.1.1.e,"2.1.1.e1). Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990. (high confidence) {WGIII SPM B1.1, WGIII SPM B.1.2, WGIII SPM B.1.3, WGIII Figure SPM.1, WGIII Figure SPM.2} ", WGIII Figure SPM.1,,
18,2.1.1.e,"2.1.1.e1). Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990. (high confidence) {WGIII SPM B1.1, WGIII SPM B.1.2, WGIII SPM B.1.3, WGIII Figure SPM.1, WGIII Figure SPM.2} ", WGIII Figure SPM.2,,
19,2.1.1.g,"2.1.1.gRegional contributions to global human-caused GHG emissions continue to differ widely. Historical contributions of CO2 emissions vary substantially across regions in terms of total magnitude, but also in terms of contributions to CO2-FFI (1650 ± 73 GtCO2-eq) and net CO2-LULUCF (760 ± 220 GtCO2-eq) emissions (Figure 2.2). Variations in regional and national per capita emissions partly reflect different development stages, but they also vary widely at similar income levels. Average per capita net anthropogenic GHG emissions in 2019 ranged from 2.6 tCO2-eq to 19 tCO2-eq across regions (Figure 2.2). Least developed countries (LDCs) and Small Island Developing States (SIDS) have much lower per capita emissions (1.7 tCO2- eq and 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq), excluding CO2-LULUCF. Around 48% of the global population in 2019 lives in countries emitting on average more than 6 tCO2-eq per capita, 35% of the global population live in countries emitting more than 9 tCO2-eq per capita13(excluding CO2- LULUCF) while another 41% live in countries emitting less than 3 tCO2-eq per capita. A substantial share of the population in these low-emitting countries lack access to modern energy services. (high confidence) {WGIII SPM B.3, WGIII SPM B3.1, WGIII SPM B.3.2, WGIII SPM B.3.3} ",WGIII SPM B.3,,
20,2.1.1.g,"2.1.1.gRegional contributions to global human-caused GHG emissions continue to differ widely. Historical contributions of CO2 emissions vary substantially across regions in terms of total magnitude, but also in terms of contributions to CO2-FFI (1650 ± 73 GtCO2-eq) and net CO2-LULUCF (760 ± 220 GtCO2-eq) emissions (Figure 2.2). Variations in regional and national per capita emissions partly reflect different development stages, but they also vary widely at similar income levels. Average per capita net anthropogenic GHG emissions in 2019 ranged from 2.6 tCO2-eq to 19 tCO2-eq across regions (Figure 2.2). Least developed countries (LDCs) and Small Island Developing States (SIDS) have much lower per capita emissions (1.7 tCO2- eq and 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq), excluding CO2-LULUCF. Around 48% of the global population in 2019 lives in countries emitting on average more than 6 tCO2-eq per capita, 35% of the global population live in countries emitting more than 9 tCO2-eq per capita13(excluding CO2- LULUCF) while another 41% live in countries emitting less than 3 tCO2-eq per capita. A substantial share of the population in these low-emitting countries lack access to modern energy services. (high confidence) {WGIII SPM B.3, WGIII SPM B3.1, WGIII SPM B.3.2, WGIII SPM B.3.3} ", WGIII SPM B3.1,,
21,2.1.1.g,"2.1.1.gRegional contributions to global human-caused GHG emissions continue to differ widely. Historical contributions of CO2 emissions vary substantially across regions in terms of total magnitude, but also in terms of contributions to CO2-FFI (1650 ± 73 GtCO2-eq) and net CO2-LULUCF (760 ± 220 GtCO2-eq) emissions (Figure 2.2). Variations in regional and national per capita emissions partly reflect different development stages, but they also vary widely at similar income levels. Average per capita net anthropogenic GHG emissions in 2019 ranged from 2.6 tCO2-eq to 19 tCO2-eq across regions (Figure 2.2). Least developed countries (LDCs) and Small Island Developing States (SIDS) have much lower per capita emissions (1.7 tCO2- eq and 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq), excluding CO2-LULUCF. Around 48% of the global population in 2019 lives in countries emitting on average more than 6 tCO2-eq per capita, 35% of the global population live in countries emitting more than 9 tCO2-eq per capita13(excluding CO2- LULUCF) while another 41% live in countries emitting less than 3 tCO2-eq per capita. A substantial share of the population in these low-emitting countries lack access to modern energy services. (high confidence) {WGIII SPM B.3, WGIII SPM B3.1, WGIII SPM B.3.2, WGIII SPM B.3.3} ", WGIII SPM B.3.2,,
22,2.1.1.g,"2.1.1.gRegional contributions to global human-caused GHG emissions continue to differ widely. Historical contributions of CO2 emissions vary substantially across regions in terms of total magnitude, but also in terms of contributions to CO2-FFI (1650 ± 73 GtCO2-eq) and net CO2-LULUCF (760 ± 220 GtCO2-eq) emissions (Figure 2.2). Variations in regional and national per capita emissions partly reflect different development stages, but they also vary widely at similar income levels. Average per capita net anthropogenic GHG emissions in 2019 ranged from 2.6 tCO2-eq to 19 tCO2-eq across regions (Figure 2.2). Least developed countries (LDCs) and Small Island Developing States (SIDS) have much lower per capita emissions (1.7 tCO2- eq and 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq), excluding CO2-LULUCF. Around 48% of the global population in 2019 lives in countries emitting on average more than 6 tCO2-eq per capita, 35% of the global population live in countries emitting more than 9 tCO2-eq per capita13(excluding CO2- LULUCF) while another 41% live in countries emitting less than 3 tCO2-eq per capita. A substantial share of the population in these low-emitting countries lack access to modern energy services. (high confidence) {WGIII SPM B.3, WGIII SPM B3.1, WGIII SPM B.3.2, WGIII SPM B.3.3} ", WGIII SPM B.3.3,,
23,2.1.1.h,"2.1.1.hNet GHG emissions have increased since 2010 across all major sectors (high confidence). In 2019, approximately 34% (20 GtCO2-eq) of net global GHG emissions came from the energy sector, 24% (14 GtCO2- eq) from industry, 22% (13 GtCO2-eq) from AFOLU, 15% (8.7 GtCO2-eq) from transport and 6% (3.3 GtCO2- eq) from buildings14(high confidence). Average annual GHG emissions growth between 2010 and 2019 slowed compared to the previous decade in energy supply (from 2.3% to 1.0%) and industry (from 3.4% to 1.4%) but remained roughly constant at about 2% yr–1in the transport sector (high confidence). About half of total net AFOLU emissions are from CO2 LULUCF, predominantly from deforestation (medium confidence). Land overall constituted a net sink of –6.6 (±4.6) GtCO2 yr–1for the period 2010–201915(medium confidence). {WGIII SPM B.2, WGIII SPM B.2.1, WGIII SPM B.2.2, WGIII TS 5.6.1}  ",WGIII SPM B.2,,
24,2.1.1.h,"2.1.1.hNet GHG emissions have increased since 2010 across all major sectors (high confidence). In 2019, approximately 34% (20 GtCO2-eq) of net global GHG emissions came from the energy sector, 24% (14 GtCO2- eq) from industry, 22% (13 GtCO2-eq) from AFOLU, 15% (8.7 GtCO2-eq) from transport and 6% (3.3 GtCO2- eq) from buildings14(high confidence). Average annual GHG emissions growth between 2010 and 2019 slowed compared to the previous decade in energy supply (from 2.3% to 1.0%) and industry (from 3.4% to 1.4%) but remained roughly constant at about 2% yr–1in the transport sector (high confidence). About half of total net AFOLU emissions are from CO2 LULUCF, predominantly from deforestation (medium confidence). Land overall constituted a net sink of –6.6 (±4.6) GtCO2 yr–1for the period 2010–201915(medium confidence). {WGIII SPM B.2, WGIII SPM B.2.1, WGIII SPM B.2.2, WGIII TS 5.6.1}  ", WGIII SPM B.2.1,,
25,2.1.1.h,"2.1.1.hNet GHG emissions have increased since 2010 across all major sectors (high confidence). In 2019, approximately 34% (20 GtCO2-eq) of net global GHG emissions came from the energy sector, 24% (14 GtCO2- eq) from industry, 22% (13 GtCO2-eq) from AFOLU, 15% (8.7 GtCO2-eq) from transport and 6% (3.3 GtCO2- eq) from buildings14(high confidence). Average annual GHG emissions growth between 2010 and 2019 slowed compared to the previous decade in energy supply (from 2.3% to 1.0%) and industry (from 3.4% to 1.4%) but remained roughly constant at about 2% yr–1in the transport sector (high confidence). About half of total net AFOLU emissions are from CO2 LULUCF, predominantly from deforestation (medium confidence). Land overall constituted a net sink of –6.6 (±4.6) GtCO2 yr–1for the period 2010–201915(medium confidence). {WGIII SPM B.2, WGIII SPM B.2.1, WGIII SPM B.2.2, WGIII TS 5.6.1}  ", WGIII SPM B.2.2,,
